直播id,直播开始时间,直播结束时间,GPM,9990,累计观看人数,新增粉丝数,999,整体成单率,直播间评论次数,直播间分享次数,整体下单率,整体下单数,直播间平均成单金额(元),直播间新加团人数,直播间商品点击次数,直播间查看购物车次数,直播间打赏次数,消耗(元),广告GPM(元),广告ROI,广告成交金额(元),广告成单数,广告成单率,广告点击次数,广告点击率,平均千次展现费用(元),广告下单数,广告下单率,广告点击单价(元),广告转化率,广告转化数,广告转化成本(元),广告平均成单金额(元),广告引导超1分钟观看人数
7.11E+18,1655722517,1655740529,2119.51,110790.9,52272,1350,1812,4.9,4124,85,5.99,2218,61.14,43,23275,21826,260,31739.75,2154.93,2.83,89780.9,1497,4.04,37017,3.01,25.85,1834,4.95,0.86,3.22,1191,26.65,59.97,8615
7.11E+18,1655700945,1655718973,1716.87,34493.65,20091,466,646,4.49,1101,15,5.43,780,53.4,3,10063,9129,93,11142.72,1702.4,2.08,23140.7,458,3.19,14373,2.63,20.4,560,3.9,0.78,2.9,417,26.72,50.53,3024
7.11E+18,1655770144,1655788184,1423.39,25201.2,17705,360,462,3.56,960,24,4.36,566,54.55,7,6545,6108,93,8015.84,1394.56,2.23,17846.2,343,2.64,12971,3.02,18.63,428,3.3,0.62,2.3,298,26.9,52.03,3011
7.11E+18,1655895303,1655913312,1631.73,47318.4,28999,456,876,4.64,1842,48,5.84,1104,54.02,14,12496,12205,134,15339.07,1727.89,2.24,34291.8,650,3.44,18891,2.71,21.97,807,4.27,0.81,2.92,552,27.79,52.76,4335
7.11E+18,1655874199,1655891777,1115.95,12642.6,11329,174,238,3.35,414,14,4.22,300,53.12,3,3750,3912,47,4064.48,1114.92,1.85,7517.9,160,2.25,7115,2.82,16.13,200,2.81,0.57,1.91,136,29.89,46.99,1350
7.11E+18,1655855739,1655870562,1568.85,14825.6,9450,144,239,3.84,479,10,4.78,298,62.03,5,3451,3253,49,3850.61,1350.22,2.09,8063.5,151,2.42,6231,2.7,16.7,189,3.03,0.62,2.23,139,27.7,53.4,1320
7.11E+18,1655981704,1655999713,2245.85,88695.3,39493,1006,1660,6.12,2986,52,7.41,2009,53.43,28,20373,18667,184,27756.87,2596.18,2.63,72996.91,1376,5.08,27107,2.49,25.53,1652,6.09,1.02,4.12,1116,24.87,53.05,6536
7.11E+18,1655942155,1655974678,1527.41,25365.78,16607,321,462,5.1,780,17,6.2,562,54.9,5,6492,6435,62,6064.8,1512.15,2.1,12736.87,265,2.93,9059,2.17,14.52,330,3.64,0.67,2.56,232,26.14,48.06,1845
7.11E+18,1656068149,1656086159,2008.39,67013.98,33367,676,1385,6.06,2232,33,7.01,1602,48.39,23,15815,14512,148,21563.23,2250.3,2.37,51115.5,1094,4.79,22862,2.56,24.19,1280,5.6,0.94,3.81,872,24.73,46.72,5168
7.11E+18,1656154504,1656172517,1865.95,51065.53,27367,423,977,5.69,1805,17,6.61,1136,52.27,14,11706,11029,105,17279.55,2075.92,2.11,36401.33,720,4.19,17178,2.44,24.56,840,4.89,1.01,3.35,576,30,50.56,3599
7.11E+18,1656240905,1656258924,1766.72,47083.1,26650,448,950,5.63,2046,26,6.61,1115,49.56,16,11183,10436,127,13323.13,2018.36,2.48,33085,700,4.15,16869,2.76,21.79,830,4.92,0.79,3.51,592,22.51,47.26,3726
7.11E+18,1656201368,1656219396,1615.45,25262.43,15638,389,468,4.33,1020,7,4.98,538,53.98,7,6345,5815,114,7525,1812.8,2.37,17799.9,347,3.21,10797,2.86,19.91,391,3.62,0.7,2.78,300,25.08,51.3,2429
7.11E+18,1656327304,1656345322,1960.11,44278.8,22590,636,871,5.83,1441,20,7.05,1054,50.84,16,11792,10717,110,12158.71,2072.16,2.47,30075.3,641,4.29,14945,2.55,20.77,778,5.21,0.81,3.74,559,21.75,46.92,3256
7.11E+18,1656287890,1656288180,0,0,122,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.11E+18,1656413750,1656431759,2143.27,73265.39,34184,827,1394,5.65,2286,23,6.65,1640,52.56,27,16370,15399,145,20444.17,2269.22,2.79,56966.47,1145,4.64,24658,2.54,21.09,1336,5.42,0.83,3.75,925,22.1,49.75,5643
7.11E+18,1656392471,1656410526,1810.48,28172.9,15561,390,522,5.32,779,16,6.1,599,53.97,6,6862,6362,42,7192.13,1956.74,2.61,18757.3,370,3.77,9819,2.32,16.96,414,4.22,0.73,3.19,313,22.98,50.7,2173
7.11E+18,1656500109,1656518126,2277.17,88449.88,38842,1450,1792,6.61,2675,36,7.63,2069,49.36,26,24281,21624,176,25431.05,2531.79,2.8,71247.01,1500,5.53,27129,2.21,20.68,1722,6.35,0.94,4.55,1235,20.59,47.5,7065
